time_utc,lat,lon,record_id,status,max_wind_kt,min_pressure_mb,forward_speed_kt,max_r34_nm,near_land,stall_flag,slow_flag,terrain_zone,basin_zone,delta_hours,cum_stall_h,cum_slow_h,cum_effective_rain_h,cum_estimated_rainfall_mm,r34_ne_nm,r34_se_nm,r34_sw_nm,r34_nw_nm,r50_ne_nm,r50_se_nm,r50_sw_nm,r50_nw_nm,r64_ne_nm,r64_se_nm,r64_sw_nm,r64_nw_nm,rmw_nm,pipeline_dpi
2018-08-30T06:00:00,12.8,-16.9,,LO,20,1008,9.8,0,,,,,,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,3.8
2018-08-30T12:00:00,12.8,-17.9,,LO,25,1007,10.7,0,,,,,,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,5.8
2018-08-30T18:00:00,12.8,-19.0,,LO,25,1007,12.1,0,,,,,,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,5.8
2018-08-31T00:00:00,13.1,-20.2,,LO,30,1006,12.1,0,,,,,,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,5.4
2018-08-31T06:00:00,13.4,-21.4,,LO,30,1006,11.8,0,,,,,,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,5.4
2018-08-31T12:00:00,13.6,-22.6,,LO,30,1006,11.8,0,,,,,,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,5.4
2018-08-31T18:00:00,13.8,-23.8,,TD,30,1006,10.9,0,,,,,,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,5.4
2018-09-01T00:00:00,14.0,-24.9,,TD,30,1006,12.0,0,,,,,,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,5.4
2018-09-01T06:00:00,14.3,-26.1,,TS,35,1005,11.8,30,,,,,,6.0,0.0,0.0,0.0,0.0,30,30,0,30,0,0,0,0,0,0,0,0,,0.7
2018-09-01T12:00:00,14.8,-27.2,,TS,35,1004,12.2,30,,,,,,6.0,0.0,0.0,0.0,0.0,30,30,0,30,0,0,0,0,0,0,0,0,,0.7
2018-09-01T18:00:00,15.4,-28.3,,TS,40,1002,13.5,40,,,,,,6.0,0.0,0.0,0.0,0.0,40,40,20,40,0,0,0,0,0,0,0,0,,1.3
2018-09-02T00:00:00,15.9,-29.6,,TS,45,1000,13.5,40,,,,,,6.0,0.0,0.0,0.0,0.0,40,40,20,40,0,0,0,0,0,0,0,0,,1.3
