time_utc,lat,lon,record_id,status,max_wind_kt,min_pressure_mb,forward_speed_kt,max_r34_nm,r34_ne_nm,r34_se_nm,r34_sw_nm,r34_nw_nm,r50_ne_nm,r50_se_nm,r50_sw_nm,r50_nw_nm,r64_ne_nm,r64_se_nm,r64_sw_nm,r64_nw_nm,rmw_nm,pipeline_dpi
2022-09-22T18:00:00,12.3,-66.3,,LO,30,1006,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,70,22.7
2022-09-23T00:00:00,12.9,-67.2,,LO,30,1006,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,70,33.8
2022-09-23T06:00:00,13.7,-68.1,,TD,30,1006,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,60,26.3
2022-09-23T12:00:00,14.2,-69.3,,TD,30,1006,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,25.4
2022-09-23T18:00:00,14.6,-70.6,,TD,30,1006,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20.1
2022-09-24T00:00:00,14.7,-71.7,,TS,35,1005,11.6,30,0,0,0,30,0,0,0,0,0,0,0,0,30,3.4
2022-09-24T06:00:00,14.7,-72.9,,TS,35,1005,14.7,30,0,0,0,30,0,0,0,0,0,0,0,0,30,3.0
2022-09-24T12:00:00,14.5,-74.4,,TS,40,1003,13.6,50,0,0,0,50,0,0,0,0,0,0,0,0,30,4.5
2022-09-24T18:00:00,14.4,-75.8,,TS,40,1003,13.7,50,0,0,0,50,0,0,0,0,0,0,0,0,30,4.5
2022-09-25T00:00:00,14.6,-77.2,,TS,40,1003,10.7,50,40,0,0,50,0,0,0,0,0,0,0,0,30,5.3
2022-09-25T06:00:00,14.6,-78.3,,TS,40,1003,11.4,50,40,0,0,50,0,0,0,0,0,0,0,0,30,5.7
2022-09-25T12:00:00,15.0,-79.4,,TS,40,1003,10.5,50,40,0,0,50,0,0,0,0,0,0,0,0,30,5.7
2022-09-25T18:00:00,15.8,-80.1,,TS,40,1003,12.6,50,40,0,0,50,0,0,0,0,0,0,0,0,30,5.3
2022-09-26T00:00:00,16.8,-80.9,,TS,50,991,11.8,60,60,60,0,30,30,0,0,0,0,0,0,0,30,5.5
2022-09-26T06:00:00,17.7,-81.7,,HU,65,985,12.0,70,70,70,30,70,30,30,0,20,15,0,0,0,15,9.2
2022-09-26T12:00:00,18.7,-82.4,,HU,70,981,11.5,90,90,80,40,90,40,40,0,30,20,0,0,0,15,12.8
2022-09-26T18:00:00,19.7,-83.0,,HU,80,976,11.4,100,100,90,60,90,50,50,20,30,30,25,0,20,20,26.6
2022-09-27T00:00:00,20.8,-83.3,,HU,85,965,10.4,100,100,90,60,90,50,50,20,30,30,25,0,20,20,27.8
2022-09-27T06:00:00,21.8,-83.6,,HU,100,956,8.0,100,100,100,70,90,50,50,30,40,30,25,20,20,15,44.4
2022-09-27T08:30:00,22.2,-83.7,L,HU,110,947,,100,100,100,70,90,50,50,30,40,30,25,20,20,15,
2022-09-27T12:00:00,22.6,-83.6,,HU,100,963,9.4,120,120,120,100,120,60,60,50,60,30,25,20,20,15,
2022-09-27T18:00:00,23.5,-83.3,,HU,105,951,9.4,120,120,120,100,120,60,60,50,60,35,35,20,20,15,
2022-09-28T00:00:00,24.4,-83.0,,HU,105,947,8.1,120,120,120,100,120,60,60,50,60,35,35,20,20,20,
2022-09-28T02:00:00,24.6,-82.9,L,HU,110,952,,120,120,120,100,120,60,60,50,60,35,35,20,20,20,51.6
2022-09-28T06:00:00,25.2,-82.9,,HU,120,945,8.2,150,120,130,100,150,70,60,60,70,35,35,30,35,20,75.8
2022-09-28T12:00:00,26.0,-82.7,,HU,140,937,6.6,150,120,140,100,150,70,60,70,80,40,40,30,40,20,87.9
2022-09-28T18:00:00,26.6,-82.4,,HU,135,938,8.7,150,130,150,100,150,50,60,70,80,30,40,30,45,20,84.9
2022-09-28T19:05:00,26.7,-82.2,L,HU,130,941,,150,130,150,100,150,50,60,70,80,30,40,30,45,20,
2022-09-28T20:35:00,26.8,-82.0,L,HU,125,945,,150,130,150,100,150,50,60,70,80,30,40,30,45,20,78.9
2022-09-29T00:00:00,27.2,-81.7,,HU,100,960,7.3,220,180,120,120,220,50,60,50,70,30,40,30,45,20,69.8
2022-09-29T06:00:00,27.7,-81.1,,HU,65,985,8.3,360,360,120,150,200,60,50,40,70,30,0,0,30,20,53.1
2022-09-29T12:00:00,28.4,-80.6,,TS,60,987,6.7,360,360,120,150,200,60,50,40,70,0,0,0,0,40,42.7
2022-09-29T18:00:00,28.9,-80.1,,HU,65,986,9.3,360,360,140,150,200,60,0,50,100,0,0,0,40,40,45.6
2022-09-30T00:00:00,29.6,-79.4,,HU,70,986,7.5,420,420,150,120,220,60,80,80,120,0,0,40,60,40,48.3
2022-09-30T06:00:00,30.3,-79.1,,HU,75,984,12.0,420,420,130,100,160,80,60,80,120,0,0,40,60,40,47.4
2022-09-30T12:00:00,31.5,-79.0,,HU,75,980,18.1,240,240,130,120,140,80,60,80,80,40,0,40,60,40,39.7
2022-09-30T18:00:00,33.3,-79.2,,HU,70,978,11.0,190,190,130,100,60,80,60,80,40,0,30,40,0,40,32.2
2022-09-30T18:05:00,33.3,-79.2,L,HU,70,978,,190,190,130,100,60,80,60,80,40,0,30,40,0,40,
2022-10-01T00:00:00,34.4,-79.3,,EX,50,990,9.6,170,160,170,0,0,0,90,0,0,0,0,0,0,80,
2022-10-01T06:00:00,35.3,-79.7,,EX,30,999,,0,0,0,0,0,0,0,0,0,0,0,0,0,180,
